Country,Population,Confirmed Cases,Death Cases,Recovered Cases,Active Cases,New Cases,New Deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/04/2020,Deaths,206979
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/04/2020,Recovered,798239
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/04/2020,Active,1885981
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/04/2020,Confirmed,2964146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/04/2020,Deaths,210862
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/04/2020,Recovered,825969
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/04/2020,Active,1927315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/04/2020,Confirmed,3032850
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/04/2020,Deaths,215511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/04/2020,Recovered,852382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/04/2020,Active,1964957
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/04/2020,Confirmed,3108149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/04/2020,Deaths,221974
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/04/2020,Recovered,884680
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/04/2020,Active,2001495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/04/2020,Confirmed,3185195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/04/2020,Deaths,228742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/04/2020,Recovered,925752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/04/2020,Active,2030701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/04/2020,Confirmed,3268876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/04/2020,Deaths,234704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/04/2020,Recovered,989616
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/04/2020,Active,2044556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/05/2020,Confirmed,3355922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/05/2020,Deaths,239881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/05/2020,Recovered,1026501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/05/2020,Active,2089540
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/05/2020,Confirmed,3437608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/05/2020,Deaths,245206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/05/2020,Recovered,1066362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/05/2020,Active,2126040
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/05/2020,Confirmed,3515244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/05/2020,Deaths,248659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/05/2020,Recovered,1097577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/05/2020,Active,2169008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/05/2020,Confirmed,3591321
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/05/2020,Deaths,252787
